Hand 1 Prob,20414,48.559,Pair
Hand 1 Prob,20413,48.344,Pair
Hand 1 Prob,20412,48.119,Pair
Hand 1 Prob,20411,47.879,Pair
Hand 1 Prob,20410,47.662,Pair
Hand 1 Prob,20409,47.453,Pair
Hand 1 Prob,20408,47.212,Pair
Hand 1 Prob,20407,46.98,Pair
Hand 1 Prob,20406,46.702,Pair
Hand 1 Prob,20405,46.449,Pair
Hand 1 Prob,20403,46.222,Pair
Hand 1 Prob,20402,45.944,Pair
Hand 1 Prob,20314,45.647,Pair
Hand 1 Prob,20313,45.433,Pair
Hand 1 Prob,20312,45.182,Pair
Hand 1 Prob,20311,44.932,Pair
Hand 1 Prob,20310,44.731,Pair
Hand 1 Prob,20309,44.502,Pair
Hand 1 Prob,20308,44.264,Pair
Hand 1 Prob,20307,44.019,Pair
Hand 1 Prob,20306,43.769,Pair
Hand 1 Prob,20305,43.518,Pair
Hand 1 Prob,20304,43.261,Pair
Hand 1 Prob,20302,43.011,Pair
Hand 1 Prob,20214,42.698,Pair
Hand 1 Prob,20213,42.444,Pair
Hand 1 Prob,20212,42.165,Pair
Hand 1 Prob,20211,41.892,Pair
Hand 1 Prob,20210,41.657,Pair
Hand 1 Prob,20209,41.429,Pair
Hand 1 Prob,20208,41.202,Pair
Hand 1 Prob,20207,40.972,Pair
Hand 1 Prob,20206,40.702,Pair
Hand 1 Prob,20205,40.441,Pair
Hand 1 Prob,20204,40.146,Pair
Hand 1 Prob,20203,39.87,Pair
Hand 1 Prob,11413,39.591,Mo
Hand 1 Prob,11412,34.144,Mo
Hand 1 Prob,11411,30.663,Mo
Hand 1 Prob,11410,28.49,Mo
Hand 1 Prob,11409,27.215,Mo
Hand 1 Prob,11408,26.435,Mo
Hand 1 Prob,11407,25.89,Mo
Hand 1 Prob,11406,25.511,Mo
Hand 1 Prob,11405,25.225,Mo
Hand 1 Prob,11404,24.963,Mo
Hand 1 Prob,11403,24.789,Mo
Hand 1 Prob,11312,24.699,Mo
Hand 1 Prob,11311,20.938,Mo
Hand 1 Prob,11310,18.612,Mo
Hand 1 Prob,11309,17.269,Mo
Hand 1 Prob,11308,16.469,Mo
Hand 1 Prob,11307,15.96,Mo
Hand 1 Prob,11306,15.599,Mo
Hand 1 Prob,11305,15.319,Mo
Hand 1 Prob,11304,15.089,Mo
Hand 1 Prob,11303,14.92,Mo
Hand 1 Prob,11211,14.807,Mo
Hand 1 Prob,11210,12.692,Mo
Hand 1 Prob,11209,11.399,Mo
Hand 1 Prob,11208,10.582,Mo
Hand 1 Prob,11207,10.104,Mo
Hand 1 Prob,11206,9.741,Mo
Hand 1 Prob,11205,9.511,Mo
Hand 1 Prob,11204,9.294,Mo
Hand 1 Prob,11203,9.146,Mo
Hand 1 Prob,11110,9.06,Mo
Hand 1 Prob,11109,7.914,Mo
Hand 1 Prob,11108,7.186,Mo
Hand 1 Prob,11107,6.678,Mo
Hand 1 Prob,11106,6.342,Mo
Hand 1 Prob,11105,6.118,Mo
Hand 1 Prob,11104,5.931,Mo
Hand 1 Prob,11103,5.807,Mo
Hand 1 Prob,11009,5.728,Mo
Hand 1 Prob,11008,5.081,Mo
Hand 1 Prob,11007,4.654,Mo
Hand 1 Prob,11006,4.335,Mo
Hand 1 Prob,11005,4.129,Mo
Hand 1 Prob,11004,3.914,Mo
Hand 1 Prob,11003,3.794,Mo
Hand 1 Prob,10908,3.736,Mo
Hand 1 Prob,10907,3.283,Mo
Hand 1 Prob,10906,2.987,Mo
Hand 1 Prob,10905,2.77,Mo
Hand 1 Prob,10904,2.578,Mo
Hand 1 Prob,10903,2.46,Mo
Hand 1 Prob,10807,2.4,Mo
Hand 1 Prob,10806,2.085,Mo
Hand 1 Prob,10805,1.859,Mo
Hand 1 Prob,10804,1.64,Mo
Hand 1 Prob,10803,1.511,Mo
Hand 1 Prob,10706,1.417,Mo
Hand 1 Prob,10705,1.171,Mo
Hand 1 Prob,10704,0.951,Mo
Hand 1 Prob,10703,0.814,Mo
Hand 1 Prob,10605,0.744,Mo
Hand 1 Prob,10604,0.535,Mo
Hand 1 Prob,10603,0.386,Mo
Hand 1 Prob,10504,0.308,Mo
Hand 1 Prob,10503,0.175,Mo
Hand 1 Prob,10403,0.082,Mo
Hand 1 Prob,0,0,Mo
Hand 2 Prob,81200,100,4K
Hand 2 Prob,81100,99.998,4K
Hand 2 Prob,81000,99.997,4K
Hand 2 Prob,80900,99.995,4K
Hand 2 Prob,80800,99.994,4K
Hand 2 Prob,80700,99.993,4K
Hand 2 Prob,80600,99.992,4K
Hand 2 Prob,80500,99.989,4K
Hand 2 Prob,80400,99.985,4K
Hand 2 Prob,80300,99.982,4K
Hand 2 Prob,80200,99.98,4K
Hand 2 Prob,71413,99.977,House
Hand 2 Prob,71411,99.974,House
Hand 2 Prob,71410,99.972,House
Hand 2 Prob,71409,99.965,House
Hand 2 Prob,71408,99.962,House
